SKU	StockLevel
24422161039	16
24422161040	28
24422161041	20
24422161042	1
24422161043	2
24425141036	0
24425141037	0
24425141038	0
24425141039	0
24425141040	0
24425141041	0
24425141042	0
24425141043	0
24425141044	0
24425141045	0
24425141046	0
24425141047	0
24425141048	0
24425141049	0
24425141050	0
24470141047	0
25100141210	0
25100141275	0
25102161010	0
251021610115	0
25102161012	0
251021610125	0
25102161013	0
25102161085	0
2510216109	0
2510216119125	0
25104161055	0
2510416106	0
25104161065	0
2510416107	0
25104161075	0
2510416108	0
25104161085	0
2510416109	0
25104161855	0
251041618555	0
25402171101065	0
2540217110110	0
25402171101105	0
2540217110111	0
254021712510	0
254201510405	100
25420151042	100
25420151043	100
25420151044	100
254201510455	100
25420151046	56
25420151047	29
254201580405	64
25420158042	100
25420158043	100
25420158044	100
254201580455	100
25420158046	100
25420158047	46
25491161044	0
25491161045	0
25491161047	0
25SLI411	49
25SLI610	49
25SLI620TU	10
25SLI630	42
25SLISMX1121	52
25SLISMX1310	0
25SLISMX1321	20
25SLISMX6	65
26115171100085	0
2611517110010	0
2611517110011	0
26115171100115	0
26115171100125	0
2611517110013	0
2611517110014	0
261151780085	0
26115178009	0
261151780115	0
261151780125	0
26115178013	0
26115178014	0
31005171050	0
31005171052	0
31005171054	0
31005171056	0
31005171058	0
31005171060	0
31005171062	0
310051712350	0
310051712354	0
31005171252	0
310051712550	0
310051712554	0
31005171258	0
3100517153856	0
31010161050	0
31010161054	0
31010161056	0
31010161058	0
310101612352	0
31010161252	0
31010161256	0
3110517103938	1
3110517103940	1
3110517103942	1
3110517103944	0
3110517103946	0
3110517103948	0
3110517103950	0
31110161042	0
31110161248	0
31205141048	0
31205141050	0
31205141054	0
31205141056	0
31205141058	0
31206141048	0
31206141054	0
31206141058	0
31225161044	0
31225161046	0
31225161048	0
31225161050	0
31225161052	0
31225161054	0
31225161056	0
3122516110044	0
3122516110046	0
3122516110048	0
3122516110050	0
3122516110054	0
3122516110056	0
31290151056	0
31305141038	0
31305141040	0
31305141042	0
31305141046	0
3132516110038	1
3132516110040	0
3132516110042	1
3132516110044	0
3132516110046	0
3132516110048	1
31506171056	0
31506171256	0
3151017127550	0
3151017127552	0
3151017127556	0
315101713252	0
315101713254	0
31606171056	0
316101712354	0
316101713250	0
316101713252	0
316101713256	0
316101714056	0
31650161350	0
3181017123140	0
3181017123144	1
3181017123938	2
3181017123940	0
3181017123942	0
3181017123946	0
3200015122XL	0
320001512L	0
320001512M	0
320001512S	0
320001512XXXL	0
32010171043XL	0
3201017104M	0
3201017104S	0
3201017104XL	0
3201017104XXL	0
320101710S	0
320101710XL	0
320101710XXL	0
320101710XXXL	0
3201017123XL	0
320101712M	0
320101712S	0
320101712XL	0
320101712XXL	0
320101712XXXXL	0
3201017155XXXL	0
32040161313XL	0
32040161314XL	0
3204016131L	0
3204016131M	0
3204016131S	0
320461710L	0
320461710M	9
320461710S	0
320461710XL	0
320461710XXL	8
320461710XXXL	0
3204617551L	6
3204617551M	15
3204617551S	3
3204617551XL	0
3204617551XXL	0
3204617551XXXL	3
3204917013XL	5
320491701L	9
320491701M	5
320491701S	0
320491701XL	13
320491701XXL	11
320551512M	0
3206017103XL	0
320601710L	0
320601710XL	0
320601710XXL	0
3206815123L	0
3206815123XL	0
320731710S	0
320731710XL	0
32073179010L	0
32073179010S	0
32073179010XXL	0
3207513155S	0
3207513155XL	0
3207517103XL	0
3207517104XL	0
3207517106XL	0
320751710L	0
320751710XXL	0
32075171553XL	0
32075171554XL	0
3207517155S	0
3207517155XXL	0
320751760833XL	0
320751760834XL	0
32075176083L	0
32075176083M	0
32075176083S	0
32075176083XL	0
320751792193XL	0
320751792194XL	0
32075179219L	0
32075179219M	0
32075179219S	0
32075179219XL	0
32075179219XXL	0
32075179933XL	0
32075179934XL	0
3207517993L	0
3207517993M	0
3207517993S	0
3207517993XL	0
3208016102XL	0
3208016104XL	0
320801610XL	0
3211017104S	0
3211017104XS	0
3211017104XXL	0
32110171239S	0
32110171239XL	0
32110171239XS	0
32110171239XXL	0
321101712L	0
321101712S	0
321101712XS	0
321101712XXL	0
32168151039S	0
32168151039XL	0
32173179010M	0
321751710L	0
321751710M	0
321751710S	0
321751710XL	0
321751710XXL	0
32175179219L	0
32175179219XL	0
32175179219XXL	0
32240161062XL	0
32240161063XL	0
3224016106M	0
3224016106S	0
32241161063XL	0
322461710L	7
322461710M	0
322461710S	0
322461710XL	5
322461710XXL	8
322461710XXXL	4
3224617551L	2
3224617551M	5
3224617551S	2
3224617551XL	0
3224617551XXL	0
3224617551XXXL	3
3224917013XL	1
322491701L	6
322491701M	3
322491701S	2
322491701XL	4
322491701XXL	3
3226017103XL	0
322601710L	1
322601710M	0
322601710XXL	0
3226116102XL	0
3226116104XL	0
322611610L	0
322611610M	0
322611610S	0
322611610XL	0
3226216102XL	0
3227517104XL	0
3227517105XL	0
3227517106XL	0
322751710M	1
322751792193XL	0
322751792194XL	0
32275179219L	0
32275179219M	0
32275179219S	0
32275179219XL	0
32275179219XXL	0
3227617103XL	0
322761710L	0
322761710M	0
322761710S	0
322761710XL	0
322761710XXL	0
322771710L	0
322771710XL	0
322771710XXL	0
3227916132XL	0
3227916133XL	0
3227916134XL	0
322791613L	0
322791613M	1
322791613S	0
3236114122XL	1
323611412L	0
323611412M	1
323611412S	0
323611412XL	1
323751410S	0
323751710M	0
323751710S	0
326461710L	0
326461710M	16
326461710S	2
326461710XL	0
326461710XXL	0
326461710XXXL	0
3264617551L	2
3264617551M	0
3264617551S	0
3264617551XL	0
3264617551XXL	0
3264617551XXXL	1
330401610M	0
330401610XL	0
3308815102XL	0
3308815103XL	0
3308815104XL	0
330881510L	0
330881510M	0
330881510S	0
330881510XL	0
3328417108128	0
3328417108134	0
3328417108136	0
3328417108140	0
332841774928	0
332841774930	0
332841774932	0
332841774934	0
332841774938	0
332841774940	0
33285161028	0
33285161030	0
33285161032	0
33285161034	0
33285161036	0
33285161038	0
33285161040	0
3328516700928	0
3328516700930	0
3328516700932	0
3328516700934	0
3328516700936	0
3328516700938	0
3328516700940	0
33285167628	0
33285167632	0
33285167634	0
33285167636	0
33285167638	0
33285167640	0
3328517108028	0
3328517108030	0
3328517108032	0
3328517108034	0
3328517108036	0
3328517108038	0
3328517108040	0
3328517700628	0
3328517700630	0
3328517700632	0
3328517700634	0
3328517700638	0
3328517700640	0
3328517700928	0
3328517700930	0
3328517700932	0
3328517700934	0
3328517700936	0
3328517700938	0
3328517700940	0
3328717700636	0
